ВДЕ,Питома частка,"Енергія із ВДЕ, вироблена в громаді / 
Вся енергія (електроенергія та тепло), спожита в громаді",%,1,15,"Енергія із ВДЕ, вироблена в громаді","Вся енергія (електроенергія та тепло), спожита в громаді",AA-01,0,0
ВДЕ,Питома частка,"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна) / 
Вся електроенергія, спожита в громаді",%,1,10,"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)","Вся електроенергія, спожита в громаді",AA-02,0,0
ВДЕ,Питома частка,"Теплова енергія із ВДЕ, вироблена в громаді (гео-, водо-, геліотермальна+біомаси+біопалива) / 
Вся теплова енергія, спожита в громаді",%,1,5,"Теплова енергія із ВДЕ, вироблена в громаді (гео-, водо-, геліотермальна+біомаси+біопалива)","Вся теплова енергія, спожита в громаді",AA-03,0,0
ВДЕ,Питома частка,"Енергія із ВДЕ, вироблена в громаді / 
Мешканців","кВт.год. / 
осіб",3,10,"Енергія із ВДЕ, вироблена в громаді",Мешканців,AA-04,0,0
ВДЕ,Інвестиції,"Інвестиції у ВДЕ / 
Вартість енергоресурсів (опалення та енергопостачання), спожитих в громаді (всі стаціонарні споживачі)",%,1,10,Інвестиції у ВДЕ,"Вартість енергоресурсів (опалення та енергопостачання), спожитих в громаді (всі стаціонарні споживачі)",AB-01,0,0
ВДЕ,Інвестиції,"Інвестиції у ВДЕ / 
Обсяг інвестицій в громаді",%,1,10,Інвестиції у ВДЕ,Обсяг інвестицій в громаді,AB-02,0,0
Вода,Споживання,"Спожито холодної води населенням / 
Осіб, котрим надається водопостачання","м3 / 
осіб",1,-4,Спожито холодної води населенням,"Осіб, котрим надається водопостачання",BA-01,0,0
Вода,Ефективність,"Реалізовано холодної води підприємствами водопостачання / 
Спожито енергоресурсів підприємствами водопостачання","м3 / 
кВт.год.",1,4,Реалізовано холодної води підприємствами водопостачання,Спожито енергоресурсів підприємствами водопостачання,BB-01,0,0
Вода,Ефективність,"Втрат води в мережах / 
1",%,1,-2,Втрат води в мережах,100%,BB-02,0,1
Вода,Очистка,"Дощових стоків, котрі проходять очистку / 
Дощових стоків за рік",%,1,4,"Дощових стоків, котрі проходять очистку",Дощових стоків за рік,BC-01,0,0
Вода,Очистка,"Каналізаційних стоків, котрі проходять очистку / 
Каналізаційних стоків за рік",%,1,8,"Каналізаційних стоків, котрі проходять очистку",Каналізаційних стоків за рік,BC-02,0,0
Вода,Очистка,"Очищено мулу із каналізаційних стоків / 
Мулу із каналізаційних стоків за рік",%,1,2,Очищено мулу із каналізаційних стоків,Мулу із каналізаційних стоків за рік,BC-03,0,0
Вода,Очистка,"Використано мулу із каналізаційних стоків (удобрення с/г угідь, бродіння, сушіння і спалювання дигестату) / 
Мулу із каналізаційних стоків за рік",%,1,8,"Використано мулу із каналізаційних стоків (удобрення с/г угідь, бродіння, сушіння і спалювання дигестату)",Мулу із каналізаційних стоків за рік,BC-04,0,0
Вода,Енергія,"Вироблено енергії із каналізаційних стоків / 
Каналізаційних стоків за рік","МВт.год. / 
тис.м3",2,10,Вироблено енергії із каналізаційних стоків,Каналізаційних стоків за рік,BD-01,0,0
Вода,Енергія,"Вироблено біогазу із каналізаційних стоків / 
Каналізаційних стоків за рік","м3 / 
тонн",2,20,Вироблено біогазу із каналізаційних стоків,Каналізаційних стоків за рік,BD-02,0,0
Вода,Аварійність,"Годин без холодного водопостачання внаслідок аварій / 
Рік","Од. / 
Рік",1,-1,Годин без холодного водопостачання внаслідок аварій,Рік,BE-01,0,0
Вода,Аварійність,"Аварій в системі холодного водопостачання / 
Рік","Од. / 
Рік",1,"-0,2",Аварій в системі холодного водопостачання,Рік,BE-02,0,0
Вода,Аварійність,"Мереж водопостачання в аварійному стані / 
Мереж водопостачання",%,1,-4,Мереж водопостачання в аварійному стані,Мереж водопостачання,BE-03,0,0
Вода,Аварійність,"Годин без водовідведення та каналізації внаслідок аварій / 
Рік","Од. / 
Рік",1,-1,Годин без водовідведення та каналізації внаслідок аварій,Рік,BE-04,0,0
Вода,Аварійність,"Аварій в системі водовідведення та каналізації / 
Рік","Од. / 
Рік",1,"-0,2",Аварій в системі водовідведення та каналізації,Рік,BE-05,0,0
Вода,Аварійність,"Мереж водовідведення та каналізації в аварійному стані / 
Мереж водовідведення та каналізації",%,1,-4,Мереж водовідведення та каналізації в аварійному стані,Мереж водовідведення та каналізації,BE-06,0,0
Вода,Аварійність,"Підтоплених домогосподарств / 
Домогосподарств","Од. / 
тис.од",3,-200,Підтоплених домогосподарств,Домогосподарств,BE-07,0,0
Вода,Охоплення,"Домогосподарств із централізованим водопостачанням / 
Домогосподарств",%,1,1,Домогосподарств із централізованим водопостачанням,Домогосподарств,BF-01,0,0
Екологія,Скарги,"Скарг на екологічну ситуацію / 
Мешканців","Од. / 
тис.осіб",1,-68,Скарг на екологічну ситуацію,Мешканців,CA-01,0,0
Екологія,Скарги,"Скарг на спалювання рослинних залишків та рослинності / 
Мешканців","Од. / 
тис.осіб",2,-3,Скарг на спалювання рослинних залишків та рослинності,Мешканців,CA-02,0,0
Екологія,Скарги,"Скарг на порушення щодо поводження із тваринними відходами / 
Мешканців","Од. / 
тис.осіб",2,-5,Скарг на порушення щодо поводження із тваринними відходами,Мешканців,CA-03,0,0
Екологія,Скарги,"Скарг на шумове забруднення / 
Мешканців","Од. / 
тис.осіб",2,-20,Скарг на шумове забруднення,Мешканців,CA-04,0,0
Екологія,Скарги,"Скарг на світлове забруднення / 
Мешканців","Од. / 
тис.осіб",2,-20,Скарг на світлове забруднення,Мешканців,CA-05,0,0
Екологія,Скарги,"Скарг на інші забруднення / 
Мешканців","Од. / 
тис.осіб",2,-20,Скарг на інші забруднення,Мешканців,CA-06,0,0
Екологія,Повітря,"Шкідливих викидів від промисловості за рік / 
Мешканців","Тонн / 
осіб",2,-7,Шкідливих викидів від промисловості за рік,Мешканців,CB-01,0,0
Екологія,Повітря,"Викидів СО2 за рік / 
Мешканців","Тонн / 
осіб",2,-4,Викидів СО2 за рік,Мешканців,CB-02,0,0
Екологія,Повітря,"Середньорічна якість атмосферного повітря / 
1","Од. / 
%",1,8,Середньорічна якість атмосферного повітря,100%,CB-03,0,1
Екологія,Грунти,"Пошкоджених домогосподарств внаслідок зсувів, просідання грунту, тощо / 
Домогосподарств","Од. / 
тис.од",3,-500,"Пошкоджених домогосподарств внаслідок зсувів, просідання грунту, тощо",Домогосподарств,CC-01,0,0
Екологія,Грунти,"Площа втрачених врожаїв / 
Загальна площа посівів",%,1,-10,Площа втрачених врожаїв,Загальна площа посівів,CC-02,0,0
Територія,Озеленення,"Площа зелених насаджень / 
Мешканців","Км2 / 
млн.осіб",2,10,Площа зелених насаджень,Мешканців,DA-01,0,0
Територія,Озеленення,"Площа відновлених та висаджених зелених насаджень за рік / 
Площа зелених насаджень",%,2,20,Площа відновлених та висаджених зелених насаджень за рік,Площа зелених насаджень,DA-02,0,0
Територія,Озеленення,"Площа зелених насаджень / 
Територія громади",%,2,10,Площа зелених насаджень,Територія громади,DA-03,0,0
Територія,Озеленення,"Площа масових насаджень дерев (парки, сквери, лісопарки, ліси, тощо) / 
Територія громади",%,2,7,"Площа масових насаджень дерев (парки, сквери, лісопарки, ліси, тощо)",Територія громади,DA-04,0,0
Територія,Озеленення,"Площа іншого озеленення (поодинокі дерева, кущі вздовж вулиць, газони, поля, луги тощо (без врахування с/г угідь)) / 
Територія громади",%,2,3,"Площа іншого озеленення (поодинокі дерева, кущі вздовж вулиць, газони, поля, луги тощо (без врахування с/г угідь))",Територія громади,DA-05,0,0
Територія,Площа,"Асфальтована та брукована територія / 
Територія громади",%,2,2,Асфальтована та брукована територія,Територія громади,DB-01,0,0
Територія,Площа,"Площа браунфілдів та деградованих земель / 
Територія громади",%,2,-5,Площа браунфілдів та деградованих земель,Територія громади,DB-02,0,0
Територія,Площа,"Площа розораних земель та земель с/г призначення / 
Територія громади",%,2,2,Площа розораних земель та земель с/г призначення,Територія громади,DB-03,0,0
Територія,Водойми,"Протяжність облагороджених берегів водойм / 
Протяжність берегової смуги",%,2,10,Протяжність облагороджених берегів водойм,Протяжність берегової смуги,DC-01,0,0
Територія,Водойми,"Площа непорушених прибережних захисних смуг / 
Площа прибережних захисних смуг",%,2,9,Площа непорушених прибережних захисних смуг,Площа прибережних захисних смуг,DC-02,0,0
Територія,Урбаністика,"Малих архітектурних форм, літніх майданчиків та інших перешкод на хідниках та інших місцях пішохідного і вело руху / 
Мешканців","Од. / 
тис.осіб",2,-10,"Малих архітектурних форм, літніх майданчиків та інших перешкод на хідниках та інших місцях пішохідного і вело руху",Мешканців,DD-01,0,0
Територія,Урбаністика,"Малих архітектурних форм / 
Мешканців","Од. / 
тис.осіб",1,-1,Малих архітектурних форм,Мешканців,DD-02,0,0
Територія,Урбаністика,"Місць для сидіння на вуличних меблях, парклетах, тощо / 
Мешканців","Од. / 
тис.осіб",1,2,"Місць для сидіння на вуличних меблях, парклетах, тощо",Мешканців,DD-03,0,0
Територія,Урбаністика,"Сміттєвих урн / 
Мешканців","Од. / 
тис.осіб",1,3,Сміттєвих урн,Мешканців,DD-04,0,0
Територія,Урбаністика,"Кількість світлодіодних ламп зовнішнього освітлення / 
Кількість ламп зовнішнього освітлення",%,1,3,Кількість світлодіодних ламп зовнішнього освітлення,Кількість ламп зовнішнього освітлення,DD-05,0,0
Територія,Урбаністика,"Протяжність освітлених доріг, проспектів та вулиць / 
Протяжність доріг, проспектів та вулиць",%,1,4,"Протяжність освітлених доріг, проспектів та вулиць","Протяжність доріг, проспектів та вулиць",DD-06,0,0
Територія,Урбаністика,"Пішохідних переходів / 
Протяжність доріг, проспектів та вулиць","Од. / 
км.",2,10,Пішохідних переходів,"Протяжність доріг, проспектів та вулиць",DD-07,0,0
Територія,Урбаністика,"Освітлених пішохідних переходів / 
Пішохідних переходів",%,1,5,Освітлених пішохідних переходів,Пішохідних переходів,DD-08,0,0
Територія,Урбаністика,"Піднятих пішохідних переходів / 
Пішохідних переходів",%,1,8,Піднятих пішохідних переходів,Пішохідних переходів,DD-09,0,0
Територія,Урбаністика,"Пішохідних переходів із заниженими бордюрами / 
Пішохідних переходів",%,1,6,Пішохідних переходів із заниженими бордюрами,Пішохідних переходів,DD-10,0,0
Територія,Урбаністика,"Пішохідних переходів із тактильною плиткою / 
Пішохідних переходів",%,1,7,Пішохідних переходів із тактильною плиткою,Пішохідних переходів,DD-11,0,0
Територія,Урбаністика,"Інших пішохідних переходів / 
Пішохідних переходів",%,1,2,Інших пішохідних переходів,Пішохідних переходів,DD-12,0,0
Територія,Бродячі тварини,"Безпритульних тварин в притулках / 
Мешканців","Од. / 
тис.осіб",2,-50,Безпритульних тварин в притулках,Мешканців,DE-01,0,0
Територія,Бродячі тварини,"Чіпованих безпритульних тварин / 
Мешканців","Од. / 
тис.осіб",2,20,Чіпованих безпритульних тварин,Мешканців,DE-02,0,0
Територія,Бродячі тварини,"Бродячих тварин / 
Мешканців","Од. / 
тис.осіб",2,-10,Бродячих тварин,Мешканців,DE-03,0,0
Територія,Бродячі тварини,"Нападів бродячих тварин / 
Мешканців","Од. / 
тис.осіб",2,-10,Нападів бродячих тварин,Мешканців,DE-04,0,0
Управління громадою,Міжнародна активність,"Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності / 
Мешканців","Од. / 
тис.осіб",3,200,Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,Мешканців,EA-01,0,0
Управління громадою,Міжнародна активність,"Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність / 
Дохідна частина бюджету",%,2,200,Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,Дохідна частина бюджету,EA-02,0,0
Управління громадою,Енергоменеджмент,"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях / 
Бюджетних установ","Осіб / 
Од.",2,100,"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",Бюджетних установ,EB-01,0,0
Управління громадою,Енергоменеджмент,"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом / 
Бюджетних установ",%,1,5,"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",Бюджетних установ,EB-02,0,0
Управління громадою,Енергоменеджмент,"Коштів на мотивацію енергоменеджерів та установ / 
Видатки на ПЕР в бюджетних установах",%,2,800,Коштів на мотивацію енергоменеджерів та установ,Видатки на ПЕР в бюджетних установах,EB-03,0,0
Управління громадою,Енергоменеджмент,"Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності / 
Будівель бюджетних установ, в котрих доцільно проводити",%,2,50,Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,"Будівель бюджетних установ, в котрих доцільно проводити",EB-04,0,0
Управління громадою,Енергоменеджмент,"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком / 
Структурних підрозділів в ОМС",%,1,20,"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",Структурних підрозділів в ОМС,EB-05,0,0
Управління громадою,Енергоменеджмент,"Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності / 
Рік","Од. / 
Рік",1,50,Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності,Рік,EB-06,0,0
Управління громадою,Безпека,"Камер відеоспостереження, підключених до єдиного диспетчерського центру(-ів) / 
Мешканців","Од. / 
тис.осіб",2,50,"Камер відеоспостереження, підключених до єдиного диспетчерського центру(-ів)",Мешканців,EC-01,0,0
Управління громадою,Безпека,"Смертей від насильницьких причин / 
Смертей",%,1,-100,Смертей від насильницьких причин,Смертей,EC-02,0,0
Населення,Структура,"Домогосподарств / 
Мешканців","Од. / 
осіб",3,10,Домогосподарств,Мешканців,FA-01,0,0
Населення,Структура,"Домогосподарств в приватному секторі / 
Мешканців в приватному секторі","Од. / 
осіб",3,10,Домогосподарств в приватному секторі,Мешканців в приватному секторі,FA-02,0,0
Населення,Структура,"Квартир в багатоквартирних будинках / 
Мешканців в багатоквартирних будинках","Од. / 
осіб",3,10,Квартир в багатоквартирних будинках,Мешканців в багатоквартирних будинках,FA-03,0,0
