"Енергія із ВДЕ, вироблена в громаді",кВт.год.,1,Енергоменеджер,AA-001,0
Інвестиції у ВДЕ,Млн.грн.,1,Енергоменеджер,AA-002,0
Спожито холодної води населенням,м3,1,Енергоменеджер,AA-003,0
Реалізовано холодної води підприємствами водопостачання,м3,1,Енергоменеджер,AA-004,0
Втрат води в мережах,м3,1,Енергоменеджер,AA-005,0
"Каналізаційних стоків, котрі проходять очистку",м3,1,Енергоменеджер,AA-006,0
Очищено мулу із каналізаційних стоків,Тонн,1,Енергоменеджер,AA-007,0
"Використано мулу із каналізаційних стоків (удобрення с/г угідь, бродіння, сушіння і спалювання дигестату)",Тонн,1,Енергоменеджер,AA-008,0
Вироблено енергії із каналізаційних стоків,МВт.год.,1,Енергоменеджер,AA-009,0
Вироблено біогазу із каналізаційних стоків,м3,1,Енергоменеджер,AA-010,0
Годин без холодного водопостачання внаслідок аварій,Год.,1,Енергоменеджер,AA-011,0
Аварій в системі холодного водопостачання,Од.,0,Енергоменеджер,AA-012,0
Мереж водопостачання в аварійному стані,Км.,1,Енергоменеджер,AA-013,0
Годин без водовідведення та каналізації внаслідок аварій,Год.,1,Енергоменеджер,AA-014,0
Аварій в системі водовідведення та каналізації,Од.,0,Енергоменеджер,AA-015,0
Мереж водовідведення та каналізації в аварійному стані,Км.,1,Енергоменеджер,AA-016,0
Підтоплених домогосподарств,Од.,0,Енергоменеджер,AA-017,0
Домогосподарств із централізованим водопостачанням,Од.,0,Енергоменеджер,AA-018,0
Викидів СО2 за рік,Тонн,1,Енергоменеджер,AA-019,0
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,Од.,0,Енергоменеджер,AA-020,0
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,Млн.грн.,1,Енергоменеджер,AA-021,0
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",Осіб,0,Енергоменеджер,AA-022,0
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",Од.,0,Енергоменеджер,AA-023,0
Коштів на мотивацію енергоменеджерів та установ,Млн.грн.,1,Енергоменеджер,AA-024,0
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,Од.,0,Енергоменеджер,AA-025,0
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",Од.,0,Енергоменеджер,AA-026,0
Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності,Од.,0,Енергоменеджер,AA-027,0
Використано палива за рік,кВт.год.,1,Енергоменеджер,AA-028,0
Використано бензину за рік,кВт.год.,1,Енергоменеджер,AA-029,0
Використано дизпалива за рік,кВт.год.,1,Енергоменеджер,AA-030,0
Використано автомобільних газів за рік,кВт.год.,1,Енергоменеджер,AA-031,0
Використано електроенергії транспортними засобами за рік,кВт.год.,1,Енергоменеджер,AA-032,0
Кількість заправних та зарядних станцій,Од.,0,Енергоменеджер,AA-033,0
Кількість АЗС,Од.,0,Енергоменеджер,AA-034,0
Кількість АГНКС,Од.,0,Енергоменеджер,AA-035,0
Кількість зарядних станцій для авто,Од.,0,Енергоменеджер,AA-036,0
"Вся енергія, спожита в громаді",кВт.год.,1,Енергоменеджер,AA-037,0
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,кВт.год.,1,Енергоменеджер,AA-038,0
Спожито опалення від теплопостачальних підприємств,кВт.год.,1,Енергоменеджер,AA-039,0
Спожито гарячої води від підприємств ГВП,м3,1,Енергоменеджер,AA-040,0
Годин без електропостачання внаслідок аварій,Год.,1,Енергоменеджер,AA-041,0
Аварій в системі електропостачання,Од.,0,Енергоменеджер,AA-042,0
Годин без теплопостачання внаслідок аварій,Год.,1,Енергоменеджер,AA-043,0
Аварій в системі теплопостачання,Од.,0,Енергоменеджер,AA-044,0
Годин без газопостачання внаслідок аварій,Год.,1,Енергоменеджер,AA-045,0
Аварій в системі газопостачання,Од.,0,Енергоменеджер,AA-046,0
Годин без гарячого водопостачання внаслідок аварій,Год.,1,Енергоменеджер,AA-047,0
Аварій в системі гарячого водопостачання,Од.,0,Енергоменеджер,AA-048,0
Домогосподарств із централізованим теплопостачанням,Од.,0,Енергоменеджер,AA-049,0
Домогосподарств із централізованим ГВП,Од.,0,Енергоменеджер,AA-050,0
Кількість діб надання ГВП,Діб,0,Енергоменеджер,AA-051,0
Спожито енергії в громадських будівлях,МВт.год.,1,Енергоменеджер,AA-052,0
Спожито енергії в дошкільних навчальних закладах,МВт.год.,1,Енергоменеджер,AA-053,0
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,МВт.год.,1,Енергоменеджер,AA-054,0
Спожито енергії в закладах охорони здоров'я,МВт.год.,1,Енергоменеджер,AA-055,0
Спожито енергії в закладах культури,МВт.год.,1,Енергоменеджер,AA-056,0
Спожито енергії в спортивних закладах,МВт.год.,1,Енергоменеджер,AA-057,0
Спожито енергії в адміністративних та інших закладах,МВт.год.,1,Енергоменеджер,AA-058,0
Інвестовано в енергоефективність громадських будівель,Млн.грн.,1,Енергоменеджер,AA-059,0
Опалювальна площа утеплених громадських будівель,м2,1,Енергоменеджер,AA-060,0
Опалювальна площа громадських будівель з ІТП,м2,1,Енергоменеджер,AA-061,0
Спожито електроенергії в житловому секторі,кВт.год.,1,Енергоменеджер,AA-062,0
Спожито теплової енергії в житловому секторі,кВт.год.,1,Енергоменеджер,AA-063,0
Спожито природного газу в житловому секторі,кВт.год.,1,Енергоменеджер,AA-064,0
Спожито гарячої води в житловому секторі,кВт.год.,1,Енергоменеджер,AA-065,0
Спожито енергії в багатоквартирних будинках із централізованим опаленням,кВт.год.,1,Енергоменеджер,AA-066,0
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,кВт.год.,1,Енергоменеджер,AA-067,0
Спожито енергії в приватних будинках,кВт.год.,1,Енергоменеджер,AA-068,0
Спожито енергії в житловому секторі,кВт.год.,1,Енергоменеджер,AA-069,0
Інвестицій в енергоефективність в житловому секторі,Млн.грн.,1,Енергоменеджер,AA-070,0
Видатки на ПЕР в бюджетних установах,Млн.грн.,1,Енергоменеджер,AA-071,0
Інвестиції в енергоефективність,Млн.грн.,1,Енергоменеджер,AA-072,0
"Вартість енергоресурсів (опалення та енергопостачання), спожитих в громаді (всі стаціонарні споживачі)",млн.грн.,1,Енергоменеджер,AA-073,0
"Осіб, котрим надається водопостачання",осіб,0,Енергоменеджер,AA-074,0
Спожито енергоресурсів підприємствами водопостачання,кВт.год.,1,Енергоменеджер,AA-075,0
Каналізаційних стоків за рік,м3,1,Енергоменеджер,AA-076,0
Мулу із каналізаційних стоків за рік,тонн,1,Енергоменеджер,AA-077,0
Мереж водопостачання,км.,1,Енергоменеджер,AA-078,0
Мереж водовідведення та каналізації,км.,1,Енергоменеджер,AA-079,0
Бюджетних установ,Од.,0,Енергоменеджер,AA-080,0
"Будівель бюджетних установ, в котрих доцільно проводити",Од.,0,Енергоменеджер,AA-081,0
Структурних підрозділів в ОМС,Од.,0,Енергоменеджер,AA-082,0
Транспортних засобів,од.,0,Енергоменеджер,AA-083,0
Транспортних засобів із ДВЗ,од.,0,Енергоменеджер,AA-084,0
Транспортних засобів із ГБО,од.,0,Енергоменеджер,AA-085,0
Електромобілів,од.,0,Енергоменеджер,AA-086,0
Опалювальна площа будівель,м2,1,Енергоменеджер,AA-087,0
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,кВт.год.,1,Енергоменеджер,AA-088,0
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,кВт.год.,1,Енергоменеджер,AA-089,0
Спожито енергоресурсів підприємствами гарячого водопостачання саме на ГВП,кВт.год.,1,Енергоменеджер,AA-090,0
Спожито енергії в будівлях,МВт.год.,1,Енергоменеджер,AA-091,0
Перебуває осіб в дошкільних навчальних закладах протягом дня,осіб,0,Енергоменеджер,AA-092,0
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,осіб,0,Енергоменеджер,AA-093,0
Перебуває осіб в закладах охорони здоров'я протягом дня,осіб,0,Енергоменеджер,AA-094,0
Перебуває осіб в закладах культури протягом дня,осіб,0,Енергоменеджер,AA-095,0
Перебуває осіб в спортивних закладах протягом дня,осіб,0,Енергоменеджер,AA-096,0
Перебуває осіб в адміністративних закладах протягом дня,осіб,0,Енергоменеджер,AA-097,0
Опалювальна площа громадських будівель,м2,1,Енергоменеджер,AA-098,0
Опалювальна площа дошкільних навчальних закладів,м2,1,Енергоменеджер,AA-099,0
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,м2,1,Енергоменеджер,AA-100,0
Опалювальна площа закладів охорони здоров'я,м2,1,Енергоменеджер,AA-101,0
Опалювальна площа закладів культури,м2,1,Енергоменеджер,AA-102,0
Опалювальна площа спортивних закладів,м2,1,Енергоменеджер,AA-103,0
Опалювальна площа адміністративних та інших закладів,м2,1,Енергоменеджер,AA-104,0
Сплачено за енергоносії в громадських будівлях,млн.грн.,1,Енергоменеджер,AA-105,0
Опалювальна площа громадських будівель із централізованим теплопостачанням,м2,1,Енергоменеджер,AA-106,0
Домогосподарств із електропостачанням,од.,0,Енергоменеджер,AA-107,0
Домогосподарств із теплопостачанням,од.,0,Енергоменеджер,AA-108,0
Домогосподарств із газопостачанням,од.,0,Енергоменеджер,AA-109,0
Домогосподарств із гарячим водопостачанням,од.,0,Енергоменеджер,AA-110,0
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,м2,1,Енергоменеджер,AA-111,0
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,м2,1,Енергоменеджер,AA-112,0
Опалювальна площа приватних будинків,м2,1,Енергоменеджер,AA-113,0
Видатки на ПЕР в житловому секторі,млн.грн.,1,Енергоменеджер,AA-114,0
Інвестицій в громаду,млн.грн.,1,Енергоменеджер,AA-115,0
"Енергія із ВДЕ, вироблена в громаді",кВт.год.,1,Обленерго,AB-001,0
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",кВт.год.,1,Обленерго,AB-002,0
"Енергія із ВДЕ, вироблена в громаді",кВт.год.,1,Обленерго,AB-003,0
Спожито електроенергії в житловому секторі,кВт.год.,1,Обленерго,AB-004,0
"Вся енергія (електроенергія та тепло), спожита в громаді",кВт.год.,1,Обленерго,AB-005,0
"Вся електроенергія, спожита в громаді",кВт.год.,1,Обленерго,AB-006,0
Домогосподарств із електропостачанням,од.,0,Обленерго,AB-007,0
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,кВт.год.,1,Облгаз,AC-001,0
Спожито природного газу в житловому секторі,кВт.год.,1,Облгаз,AC-002,0
Домогосподарств із газопостачанням,од.,0,Облгаз,AC-003,0
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,м2,1,Облгаз,AC-004,0
Опалювальна площа багатоквартирних будинків з індивідуальним опаленням,м2,1,Облгаз,AC-005,0
"Енергія із ВДЕ, вироблена в громаді",кВт.год.,1,Виробники електроенергії,AD-001,0
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",кВт.год.,1,Виробники електроенергії,AD-002,0
"Вся енергія (електроенергія та тепло), спожита в громаді",кВт.год.,1,Виробники електроенергії,AD-003,0
"Вся електроенергія, спожита в громаді",кВт.год.,1,Виробники електроенергії,AD-004,0
Спожито холодної води населенням,м3,1,Водоканал,AE-001,0
Реалізовано холодної води підприємствами водопостачання,м3,1,Водоканал,AE-002,0
Втрат води в мережах,м3,1,Водоканал,AE-003,0
"Дощових стоків, котрі проходять очистку",м3,1,Водоканал,AE-004,0
"Каналізаційних стоків, котрі проходять очистку",м3,1,Водоканал,AE-005,0
Очищено мулу із каналізаційних стоків,Тонн,1,Водоканал,AE-006,0
"Використано мулу із каналізаційних стоків (удобрення с/г угідь, бродіння, сушіння і спалювання дигестату)",Тонн,1,Водоканал,AE-007,0
Вироблено енергії із каналізаційних стоків,МВт.год.,1,Водоканал,AE-008,0
Вироблено біогазу із каналізаційних стоків,м3,1,Водоканал,AE-009,0
Годин без холодного водопостачання внаслідок аварій,Год.,1,Водоканал,AE-010,0
Аварій в системі холодного водопостачання,Од.,0,Водоканал,AE-011,0
Мереж водопостачання в аварійному стані,Км.,1,Водоканал,AE-012,0
