Показник,Значення,Рік,Громада,Джерело
Спожито холодної води населенням,2127910,2018,Нововолинськ,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,2789010,2018,Нововолинськ,Енергоменеджер
Втрат води в мережах,1619120,2018,Нововолинськ,Енергоменеджер
"Каналізаційних стоків, котрі проходять очистку",2322524,2018,Нововолинськ,Енергоменеджер
Аварій в системі холодного водопостачання,436,2018,Нововолинськ,Енергоменеджер
Мереж водопостачання в аварійному стані,147.6,2018,Нововолинськ,Енергоменеджер
Аварій в системі водовідведення та каналізації,168,2018,Нововолинськ,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,97.12,2018,Нововолинськ,Енергоменеджер
Домогосподарств із централізованим водопостачанням,4029,2018,Нововолинськ,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,2,2018,Нововолинськ,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,22,2018,Нововолинськ,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",1,2018,Нововолинськ,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",59,2018,Нововолинськ,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",1,2018,Нововолинськ,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,85295,2018,Нововолинськ,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,85295,2018,Нововолинськ,Енергоменеджер
Спожито енергії в закладах культури,0.07312,2018,Нововолинськ,Енергоменеджер
Спожито енергії в спортивних закладах,47,2018,Нововолинськ,Енергоменеджер
Опалювальна площа утеплених громадських будівель,136495,2018,Нововолинськ,Енергоменеджер
Спожито теплової енергії в житловому секторі,78069864,2018,Нововолинськ,Енергоменеджер
Інвестиції в енергоефективність,22,2018,Нововолинськ,Енергоменеджер
Каналізаційних стоків за рік,2322524,2018,Нововолинськ,Енергоменеджер
Мулу із каналізаційних стоків за рік,4088,2018,Нововолинськ,Енергоменеджер
Мереж водопостачання,206.1,2018,Нововолинськ,Енергоменеджер
Мереж водовідведення та каналізації,121.58,2018,Нововолинськ,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,393535579,2018,Нововолинськ,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,910,2018,Нововолинськ,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,210,2018,Нововолинськ,Енергоменеджер
Опалювальна площа громадських будівель,136495,2018,Нововолинськ,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,17719.6,2018,Нововолинськ,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,50728.3,2018,Нововолинськ,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,1742.3,2018,Нововолинськ,Енергоменеджер
Опалювальна площа закладів культури,9859.3,2018,Нововолинськ,Енергоменеджер
Опалювальна площа спортивних закладів,5145.2,2018,Нововолинськ,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,136495,2018,Нововолинськ,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,650675,2018,Нововолинськ,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,62912,2018,Нововолинськ,Енергоменеджер
Спожито холодної води населенням,2051530,2019,Нововолинськ,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,2731590,2019,Нововолинськ,Енергоменеджер
Втрат води в мережах,1382240,2019,Нововолинськ,Енергоменеджер
"Каналізаційних стоків, котрі проходять очистку",2423541,2019,Нововолинськ,Енергоменеджер
Аварій в системі холодного водопостачання,417,2019,Нововолинськ,Енергоменеджер
Мереж водопостачання в аварійному стані,136.23,2019,Нововолинськ,Енергоменеджер
Аварій в системі водовідведення та каналізації,245,2019,Нововолинськ,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,98.74,2019,Нововолинськ,Енергоменеджер
Домогосподарств із централізованим водопостачанням,4026,2019,Нововолинськ,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,1,2019,Нововолинськ,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,0.05,2019,Нововолинськ,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",1,2019,Нововолинськ,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",59,2019,Нововолинськ,Енергоменеджер
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,3,2019,Нововолинськ,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",1,2019,Нововолинськ,Енергоменеджер
Кількість заправних та зарядних станцій,2,2019,Нововолинськ,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,74928,2019,Нововолинськ,Енергоменеджер
