Показник,Значення,Рік,Громада,Джерело
"Енергія із ВДЕ, вироблена в громаді",63963,2019,Сєвєродонецьк,Енергоменеджер
"Енергія із ВДЕ, вироблена в громаді",318534,2020,Сєвєродонецьк,Енергоменеджер
Спожито холодної води населенням,3137910,2020,Сєвєродонецьк,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,3720150,2020,Сєвєродонецьк,Енергоменеджер
Втрат води в мережах,1447330,2020,Сєвєродонецьк,Енергоменеджер
Аварій в системі холодного водопостачання,69,2020,Сєвєродонецьк,Енергоменеджер
Мереж водопостачання в аварійному стані,13.6,2020,Сєвєродонецьк,Енергоменеджер
Аварій в системі водовідведення та каналізації,2,2020,Сєвєродонецьк,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,14.7,2020,Сєвєродонецьк,Енергоменеджер
Домогосподарств із централізованим водопостачанням,1945,2020,Сєвєродонецьк,Енергоменеджер
Викидів СО2 за рік,522651,2018,Сєвєродонецьк,Енергоменеджер
Викидів СО2 за рік,510392,2019,Сєвєродонецьк,Енергоменеджер
Викидів СО2 за рік,660726,2020,Сєвєродонецьк,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,2,2018,Сєвєродонецьк,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,2.2,2018,Сєвєродонецьк,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",63,2018,Сєвєродонецьк,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",56,2018,Сєвєродонецьк,Енергоменеджер
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,7,2018,Сєвєродонецьк,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,2,2019,Сєвєродонецьк,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,12.8,2019,Сєвєродонецьк,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",64,2019,Сєвєродонецьк,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",62,2019,Сєвєродонецьк,Енергоменеджер
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,9,2019,Сєвєродонецьк,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,2,2020,Сєвєродонецьк,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,9.7,2020,Сєвєродонецьк,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",65,2020,Сєвєродонецьк,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",62,2020,Сєвєродонецьк,Енергоменеджер
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,2,2020,Сєвєродонецьк,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",15,2018,Сєвєродонецьк,Енергоменеджер
Використано палива за рік,142053030,2018,Сєвєродонецьк,Енергоменеджер
Використано бензину за рік,31870530,2018,Сєвєродонецьк,Енергоменеджер
Використано дизпалива за рік,110182500,2018,Сєвєродонецьк,Енергоменеджер
"Вся енергія, спожита в громаді",1350969673,2018,Сєвєродонецьк,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,331282876,2018,Сєвєродонецьк,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,330397833,2018,Сєвєродонецьк,Енергоменеджер
Годин без електропостачання внаслідок аварій,1915,2018,Сєвєродонецьк,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",13,2019,Сєвєродонецьк,Енергоменеджер
Використано палива за рік,152449440,2019,Сєвєродонецьк,Енергоменеджер
Використано бензину за рік,31537200,2019,Сєвєродонецьк,Енергоменеджер
Використано дизпалива за рік,120912240,2019,Сєвєродонецьк,Енергоменеджер
"Вся енергія, спожита в громаді",1241400702,2019,Сєвєродонецьк,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,307569306,2019,Сєвєродонецьк,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,306859876,2019,Сєвєродонецьк,Енергоменеджер
Годин без електропостачання внаслідок аварій,627,2019,Сєвєродонецьк,Енергоменеджер
