Показник,Значення,Рік,Громада,Джерело
"Енергія із ВДЕ, вироблена в громаді","7402446,00",2018,Вінниця,Енергоменеджер
Спожито холодної води населенням,"11364381,00",2018,Вінниця,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,"19931433,00",2018,Вінниця,Енергоменеджер
Втрат води в мережах,"9167820,00",2018,Вінниця,Енергоменеджер
"Каналізаційних стоків, котрі проходять очистку","24266532,00",2018,Вінниця,Енергоменеджер
Годин без холодного водопостачання внаслідок аварій,"3,00",2018,Вінниця,Енергоменеджер
Аварій в системі холодного водопостачання,"1436,00",2018,Вінниця,Енергоменеджер
Мереж водопостачання в аварійному стані,"162,20",2018,Вінниця,Енергоменеджер
Годин без водовідведення та каналізації внаслідок аварій,"3,00",2018,Вінниця,Енергоменеджер
Аварій в системі водовідведення та каналізації,"34,00",2018,Вінниця,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,"85,10",2018,Вінниця,Енергоменеджер
Домогосподарств із централізованим водопостачанням,"127036,00",2018,Вінниця,Енергоменеджер
Викидів СО2 за рік,"1594114,37",2018,Вінниця,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,"2,00",2018,Вінниця,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,"37,00",2018,Вінниця,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях","7,00",2018,Вінниця,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом","125,00",2018,Вінниця,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком","74,00",2018,Вінниця,Енергоменеджер
"Вся енергія, спожита в громаді","1511657157,10",2018,Вінниця,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,"651531214,10",2018,Вінниця,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,"38815,50",2018,Вінниця,Енергоменеджер
Спожито гарячої води від підприємств ГВП,"8873,60",2018,Вінниця,Енергоменеджер
Годин без електропостачання внаслідок аварій,"2445,00",2018,Вінниця,Енергоменеджер
Аварій в системі електропостачання,"1475,00",2018,Вінниця,Енергоменеджер
Годин без теплопостачання внаслідок аварій,"1899,00",2018,Вінниця,Енергоменеджер
Аварій в системі теплопостачання,"219,00",2018,Вінниця,Енергоменеджер
Годин без газопостачання внаслідок аварій,"301,00",2018,Вінниця,Енергоменеджер
Аварій в системі газопостачання,"8,00",2018,Вінниця,Енергоменеджер
Годин без гарячого водопостачання внаслідок аварій,"21291,00",2018,Вінниця,Енергоменеджер
Аварій в системі гарячого водопостачання,"515,00",2018,Вінниця,Енергоменеджер
Домогосподарств із централізованим теплопостачанням,"82953,00",2018,Вінниця,Енергоменеджер
Домогосподарств із централізованим ГВП,"48895,00",2018,Вінниця,Енергоменеджер
Кількість діб надання ГВП,"365,00",2018,Вінниця,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,"24465,00",2018,Вінниця,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,"24876,00",2018,Вінниця,Енергоменеджер
Спожито енергії в закладах культури,"412,68",2018,Вінниця,Енергоменеджер
Спожито енергії в спортивних закладах,"133,22",2018,Вінниця,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,"2999,15",2018,Вінниця,Енергоменеджер
Спожито електроенергії в житловому секторі,"282554910,00",2018,Вінниця,Енергоменеджер
Спожито теплової енергії в житловому секторі,"451934822,00",2018,Вінниця,Енергоменеджер
Спожито природного газу в житловому секторі,"889487782,81",2018,Вінниця,Енергоменеджер
Спожито гарячої води в житловому секторі,"79712738,90",2018,Вінниця,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,"451945076,40",2018,Вінниця,Енергоменеджер
Спожито енергії в приватних будинках,"87836473,00",2018,Вінниця,Енергоменеджер
Спожито енергії в житловому секторі,"734489732,00",2018,Вінниця,Енергоменеджер
Спожито електроенергії в житловому секторі,"282554910,00",2018,Вінниця,Енергоменеджер
Спожито теплової енергії в житловому секторі,"451934822,00",2018,Вінниця,Енергоменеджер
Спожито природного газу в житловому секторі,"889487782,81",2018,Вінниця,Енергоменеджер
Видатки на ПЕР в бюджетних установах,"136,05",2018,Вінниця,Енергоменеджер
"Осіб, котрим надається водопостачання","363667,00",2018,Вінниця,Енергоменеджер
