Показник,Значення,Рік,Громада,Джерело
"Енергія із ВДЕ, вироблена в громаді",385677,2018,Житомир,Енергоменеджер
Інвестиції у ВДЕ,24.952874,2018,Житомир,Енергоменеджер
Спожито холодної води населенням,9265370,2018,Житомир,Енергоменеджер
Реалізовано холодної води підприємствами водопостачання,3261810,2018,Житомир,Енергоменеджер
Втрат води в мережах,11948000,2018,Житомир,Енергоменеджер
Очищено мулу із каналізаційних стоків,5833,2018,Житомир,Енергоменеджер
Аварій в системі холодного водопостачання,1279,2018,Житомир,Енергоменеджер
Мереж водопостачання в аварійному стані,335,2018,Житомир,Енергоменеджер
Аварій в системі водовідведення та каналізації,67,2018,Житомир,Енергоменеджер
Мереж водовідведення та каналізації в аварійному стані,185,2018,Житомир,Енергоменеджер
Підтоплених домогосподарств,13,2018,Житомир,Енергоменеджер
Домогосподарств із централізованим водопостачанням,19310,2018,Житомир,Енергоменеджер
Викидів СО2 за рік,270123,2018,Житомир,Енергоменеджер
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,5,2018,Житомир,Енергоменеджер
Залучених із МФО грантових та кредитних коштів у сталий розвиток та енергоефективність,35.1,2018,Житомир,Енергоменеджер
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",108,2018,Житомир,Енергоменеджер
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",96,2018,Житомир,Енергоменеджер
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,40,2018,Житомир,Енергоменеджер
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",87,2018,Житомир,Енергоменеджер
Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності,42,2018,Житомир,Енергоменеджер
Використано палива за рік,3264541000,2018,Житомир,Енергоменеджер
Використано бензину за рік,59458200,2018,Житомир,Енергоменеджер
Використано дизпалива за рік,166782070,2018,Житомир,Енергоменеджер
Використано електроенергії транспортними засобами за рік,13385840,2018,Житомир,Енергоменеджер
Кількість заправних та зарядних станцій,30,2018,Житомир,Енергоменеджер
Кількість АЗС,28,2018,Житомир,Енергоменеджер
Кількість АГНКС,18,2018,Житомир,Енергоменеджер
Кількість зарядних станцій для авто,14,2018,Житомир,Енергоменеджер
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,456797,2018,Житомир,Енергоменеджер
Спожито опалення від теплопостачальних підприємств,456187,2018,Житомир,Енергоменеджер
Аварій в системі електропостачання,658,2018,Житомир,Енергоменеджер
Аварій в системі теплопостачання,12,2018,Житомир,Енергоменеджер
Аварій в системі газопостачання,74,2018,Житомир,Енергоменеджер
Домогосподарств із централізованим теплопостачанням,959,2018,Житомир,Енергоменеджер
Спожито енергії в громадських будівлях,79447.2,2018,Житомир,Енергоменеджер
Спожито енергії в дошкільних навчальних закладах,14861,2018,Житомир,Енергоменеджер
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,19192,2018,Житомир,Енергоменеджер
Спожито енергії в закладах охорони здоров'я,8525,2018,Житомир,Енергоменеджер
Спожито енергії в закладах культури,847.2,2018,Житомир,Енергоменеджер
Спожито енергії в спортивних закладах,657,2018,Житомир,Енергоменеджер
Спожито енергії в адміністративних та інших закладах,1312,2018,Житомир,Енергоменеджер
Опалювальна площа утеплених громадських будівель,15906,2018,Житомир,Енергоменеджер
Опалювальна площа громадських будівель з ІТП,1,2018,Житомир,Енергоменеджер
Спожито електроенергії в житловому секторі,863732000,2018,Житомир,Енергоменеджер
Спожито теплової енергії в житловому секторі,374838,2018,Житомир,Енергоменеджер
Спожито енергії в багатоквартирних будинках із централізованим опаленням,435936594,2018,Житомир,Енергоменеджер
Спожито енергії в житловому секторі,374838,2018,Житомир,Енергоменеджер
Спожито електроенергії в житловому секторі,196602000,2018,Житомир,Енергоменеджер
Спожито теплової енергії в житловому секторі,435936594,2018,Житомир,Енергоменеджер
Інвестицій в енергоефективність в житловому секторі,20.095,2018,Житомир,Енергоменеджер
Видатки на ПЕР в бюджетних установах,90.7,2018,Житомир,Енергоменеджер
"Осіб, котрим надається водопостачання",233272,2018,Житомир,Енергоменеджер
Спожито енергоресурсів підприємствами водопостачання,36966000,2018,Житомир,Енергоменеджер
Каналізаційних стоків за рік,19914000,2018,Житомир,Енергоменеджер
Мулу із каналізаційних стоків за рік,5833,2018,Житомир,Енергоменеджер
Мереж водопостачання,526,2018,Житомир,Енергоменеджер
Мереж водовідведення та каналізації,259,2018,Житомир,Енергоменеджер
Бюджетних установ,167,2018,Житомир,Енергоменеджер
"Будівель бюджетних установ, в котрих доцільно проводити",97,2018,Житомир,Енергоменеджер
Структурних підрозділів в ОМС,39,2018,Житомир,Енергоменеджер
Транспортних засобів,11678,2018,Житомир,Енергоменеджер
Транспортних засобів із ДВЗ,11497,2018,Житомир,Енергоменеджер
Транспортних засобів із ГБО,3486,2018,Житомир,Енергоменеджер
Електромобілів,132,2018,Житомир,Енергоменеджер
Опалювальна площа будівель,488573,2018,Житомир,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,179107000,2018,Житомир,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,176245000,2018,Житомир,Енергоменеджер
Перебуває осіб в дошкільних навчальних закладах протягом дня,6982,2018,Житомир,Енергоменеджер
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,36146,2018,Житомир,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,8811,2018,Житомир,Енергоменеджер
Перебуває осіб в закладах культури протягом дня,1500,2018,Житомир,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,470,2018,Житомир,Енергоменеджер
Перебуває осіб в адміністративних закладах протягом дня,3900,2018,Житомир,Енергоменеджер
Опалювальна площа громадських будівель,417661.96,2018,Житомир,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,111008,2018,Житомир,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,220836,2018,Житомир,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,70911,2018,Житомир,Енергоменеджер
Опалювальна площа закладів культури,9530,2018,Житомир,Енергоменеджер
Опалювальна площа спортивних закладів,4388,2018,Житомир,Енергоменеджер
Опалювальна площа адміністративних та інших закладів,18358,2018,Житомир,Енергоменеджер
Сплачено за енергоносії в громадських будівлях,104.233,2018,Житомир,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,347462,2018,Житомир,Енергоменеджер
Домогосподарств із електропостачанням,109448,2018,Житомир,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,2943378.02,2018,Житомир,Енергоменеджер
Інвестицій в громаду,261.9,2018,Житомир,Енергоменеджер
"Енергія із ВДЕ, вироблена в громаді",308700,2019,Житомир,Енергоменеджер
Інвестиції у ВДЕ,2.68394,2019,Житомир,Енергоменеджер
Спожито холодної води населенням,9047930,2019,Житомир,Енергоменеджер
