"Енергія із ВДЕ, вироблена в громаді",кВт.год.,385 677,308 700,65 045
Інвестиції у ВДЕ,Млн.грн.,25,3,88
Спожито холодної води населенням,м3,9 265 370,9 047 930,8 638 120
Реалізовано холодної води підприємствами водопостачання,м3,3 261 810,3 270 020,2 684 860
Втрат води в мережах,м3,11 948 000,11 216 000,8 913 000
Очищено мулу із каналізаційних стоків,Тонн,5 833,6 047,6 287
"Використано мулу із каналізаційних стоків (удобрення с/г угідь, бродіння, сушіння і спалювання дигестату)",Тонн,0,0,0
Вироблено енергії із каналізаційних стоків,МВт.год.,0,0,0
Вироблено біогазу із каналізаційних стоків,м3,0,0,0
Годин без холодного водопостачання внаслідок аварій,Год.,0,0,0
Аварій в системі холодного водопостачання,Од.,1 279,969,1 028
Мереж водопостачання в аварійному стані,Км.,335,335,322
Годин без водовідведення та каналізації внаслідок аварій,Год.,0,0,0
Аварій в системі водовідведення та каналізації,Од.,67,45,116
Мереж водовідведення та каналізації в аварійному стані,Км.,185,185,183
Підтоплених домогосподарств,Од.,13,2,0
Домогосподарств із централізованим водопостачанням,Од.,19 310,19 087,19 087
Викидів СО2 за рік,Тонн,270 123,234 962,232 665
Участь у міжнародних та національних ініціативах та організаціях в сфері сталого розвитку та енергоефективності,Од.,5,6,7
Залучених із МФО грантових та кредитних коштів у сталий розвиток та  енергоефективність,Млн.грн.,35,48,243
"Осіб, задіяних в енергоменеджменті в громаді та пов'язаних підприємствах, установах та організаціях",Осіб,108,108,112
"Бюджетних установ, охоплених щоденним або що два дні енергомоніторингом",Од.,96,96,98
Коштів на мотивацію енергоменеджерів та установ,Млн.грн.,,1,1
Енергоаудитів будівель бюджетних установ щонайменше 2-річної давності,Од.,40,40,40
"Представників структурних підрозділів в ОМС, залучених до планування та роботи над сталим розвитком",Од.,87,95,95
Зустрічей із громадськістю та публічних обговорень щодо теми сталого розвитку та енергоефективності,Од.,42,56,37
Використано палива за рік,кВт.год.,3 264 541 000,3 121 492 000,2 616 750 000
Використано бензину за рік,кВт.год.,59 458 200,69 403 980,48 746 130
Використано дизпалива за рік,кВт.год.,166 782 070,302 211 210,152 435 430
Використано електроенергії транспортними засобами за рік,кВт.год.,13 385 840,12 712 250,10 341 990
Кількість заправних та зарядних станцій,Од.,30,32,35
Кількість АЗС,Од.,28,30,31
Кількість АГНКС,Од.,18,21,22
Кількість зарядних станцій для авто,Од.,14,16,17
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,кВт.год.,456 797,393 333,385 073
Спожито опалення від теплопостачальних підприємств,кВт.год.,456 187,392 757,384 517
Аварій в системі електропостачання,Од.,658,517,406
Годин без теплопостачання внаслідок аварій,Год.,0,0,0
Аварій в системі теплопостачання,Од.,12,12,7
Аварій в системі газопостачання,Од.,74,103,138
Домогосподарств із централізованим теплопостачанням,Од.,959,959,959
Домогосподарств із централізованим  ГВП,Од.,0,0,0
Кількість діб надання ГВП,Діб,0,0,0
Спожито енергії в громадських будівлях,МВт.год.,79 447,71 137,61 384
Спожито енергії в дошкільних навчальних закладах,МВт.год.,14 861,11 126,11 240
Спожито енергії в загальноосвітніх та позашкільних навчальних закладах,МВт.год.,19 192,18 146,13 836
